Zip,City,County,Type,Area,Value,Year
78752,Austin,Travis County,Urban,Central,153619.27,2012
78752,Austin,Travis County,Urban,Central,155852.94,2013
78752,Austin,Travis County,Urban,Central,158631.48,2014
78752,Austin,Travis County,Urban,Central,162318.42,2015
78752,Austin,Travis County,Urban,Central,168063.33,2016
78752,Austin,Travis County,Urban,Central,174839.29,2017
78753,Austin,Travis County,Suburban,North,127092.78,2011
78753,Austin,Travis County,Suburban,North,127214.06,2012
78753,Austin,Travis County,Suburban,North,127938.24,2013
78753,Austin,Travis County,Suburban,North,129220.83,2014
78753,Austin,Travis County,Suburban,North,131232.46,2015
78753,Austin,Travis County,Suburban,North,134329.58,2016
78753,Austin,Travis County,Suburban,North,138384.13,2017
78754,Austin,Travis County,Suburban,North,154807.78,2011
78754,Austin,Travis County,Suburban,North,154947.92,2012
78754,Austin,Travis County,Suburban,North,155718.14,2013
78754,Austin,Travis County,Suburban,North,157104.63,2014
78754,Austin,Travis County,Suburban,North,158971.05,2015
78754,Austin,Travis County,Suburban,North,161655.83,2016
78754,Austin,Travis County,Suburban,North,165078.57,2017
78756,Austin,Travis County,Urban,Central,285680,2011
78756,Austin,Travis County,Urban,Central,288033.85,2012
78756,Austin,Travis County,Urban,Central,291324.51,2013
78756,Austin,Travis County,Urban,Central,296690.28,2014
78756,Austin,Travis County,Urban,Central,303532.46,2015
78756,Austin,Travis County,Urban,Central,310506.67,2016
78756,Austin,Travis County,Urban,Central,317701.19,2017
78757,Austin,Travis County,Urban,Central,226716.11,2011
78757,Austin,Travis County,Urban,Central,229214.06,2012
78757,Austin,Travis County,Urban,Central,232507.35,2013
78757,Austin,Travis County,Urban,Central,237074.54,2014
78757,Austin,Travis County,Urban,Central,242887.28,2015
78757,Austin,Travis County,Urban,Central,249822.08,2016
78757,Austin,Travis County,Urban,Central,257233.33,2017
78758,Austin,Travis County,Suburban,North,132487.78,2011
78758,Austin,Travis County,Suburban,North,132670.83,2012
78758,Austin,Travis County,Suburban,North,133483.33,2013
78758,Austin,Travis County,Suburban,North,135059.26,2014
78758,Austin,Travis County,Suburban,North,137432.46,2015
78758,Austin,Travis County,Suburban,North,141390.83,2016
78758,Austin,Travis County,Suburban,North,146266.67,2017
78759,Austin,Travis County,Suburban,North,262702.78,2011
78759,Austin,Travis County,Suburban,North,264272.4,2012
78759,Austin,Travis County,Suburban,North,266435.29,2013
78759,Austin,Travis County,Suburban,North,270142.59,2014
78759,Austin,Travis County,Suburban,North,275469.3,2015
78759,Austin,Travis County,Suburban,North,281798.33,2016
78759,Austin,Travis County,Suburban,North,288340.08,2017
